id,name,percent_any_financial_aid,percent_any_grant_aid,average_amount_any_grant_aid,percent_federal_grant_aid,average_amount_federal_grant_aid,percent_pell_grant_aid,average_amount_pell_grant_aid,percent_other_grant_aid,average_amount_other_grant_aid,percent_state_grant_aid,average_amount_state_grant_aid,percent_institutional_grant_aid,average_amount_institutional_grant_aid,percent_any_loan_aid,average_amount_any_loan_aid,percent_federal_loan_aid,average_amount_federal_loan_aid,percent_other_loan_aid,average_amount_other_loan_aid
227216,University of North Texas,85,52,10644,39,5013,39,4307,35,784,48,4925,48,2667,63,5344,60,5101,8,4065
227331,Our Lady of the Lake University-San Antonio,100,99,20140,73,6536,72,4590,56,2571,73,5213,99,11556,85,5975,72,6084,38,1892
227368,The University of Texas-Pan American,90,87,11120,73,6180,73,5413,64,875,69,6257,36,2324,17,3804,14,3382,3,4837
227377,The University of Texas at Brownsville,97,96,7008,82,5337,82,4747,67,726,43,3877,88,742,36,3584,36,3584,0,
227429,Paul Quinn College,31,31,6111,31,5365,31,4983,8,1530,25,851,4,583,26,4266,25,4203,1,5450
227757,Rice University,72,57,28196,16,5626,16,4412,13,1510,16,4428,57,25523,21,6738,19,4291,6,10778
227845,Saint Edward's University,90,88,17900,36,5612,35,4280,34,1480,44,4464,87,13436,65,8978,62,5462,25,9485
227863,University of St Thomas,85,82,13804,32,5989,32,4740,28,1522,39,4758,77,9755,41,6797,41,5509,7,7665
228149,St. Mary's University,97,96,16684,55,6276,52,4515,49,2287,60,4715,95,10209,73,7304,71,6016,21,4812
228644,The University of Texas Health Science Center at San Antonio,0,0,,0,,0,,0,,0,,0,,0,,0,,0,
228723,Texas A & M University-College Station,78,61,9531,25,5092,23,4319,24,1184,37,4656,52,5457,36,8844,34,7353,10,7306
228769,The University of Texas at Arlington,85,76,9421,46,4732,46,4384,26,613,39,6014,50,5347,46,5343,45,4911,3,7450
228778,The University of Texas at Austin,66,54,9097,28,5367,28,4529,26,912,36,4096,46,4112,45,6109,43,5033,8,7811
228787,The University of Texas at Dallas,87,82,13246,26,5009,26,4266,20,960,35,7210,73,9573,34,5982,31,4969,7,6521
228796,The University of Texas at El Paso,83,75,11485,67,5976,67,5430,44,839,59,6572,37,2070,32,3694,32,3682,0,4264
228802,The University of Texas at Tyler,84,69,6814,31,4987,31,4227,26,1027,33,5743,44,2736,42,5690,40,4800,7,6510
228875,Texas Christian University,79,69,14953,15,4934,14,4105,11,1340,16,3739,67,13351,38,8257,37,5611,9,12376
228884,Texas College,94,93,7594,85,5837,85,5113,40,1539,39,4293,24,1939,76,6837,76,6837,0,
229018,The University of Texas of the Permian Basin,99,96,6507,50,4382,50,4175,14,814,36,3477,89,3138,54,3414,54,3358,1,3288
229027,The University of Texas at San Antonio,82,70,8671,45,5558,45,4828,43,761,39,6580,53,1886,56,5931,54,4954,9,7316
229063,Texas Southern University,96,91,10313,81,5167,81,4702,50,745,61,5789,21,8398,75,8387,75,8351,0,7745
229115,Texas Tech University,72,48,8198,26,4790,26,4333,14,868,26,5909,33,3394,49,9085,48,7515,8,10044
229160,Texas Wesleyan University,99,96,12525,66,5465,66,4536,66,930,68,3857,96,6012,61,8843,61,7269,12,7809
229179,Texas Woman's University,91,79,7888,56,5186,56,4539,43,870,41,5279,34,3492,64,5945,61,5015,23,3339
229267,Trinity University,94,90,17484,19,6218,17,3650,18,2978,22,4347,90,15145,43,7398,37,5818,22,4868
230038,Brigham Young University-Provo,66,51,4366,16,4744,16,4133,12,845,1,2132,42,3383,12,6156,12,6043,0,6202
230728,Utah State University,85,74,6628,31,4532,30,4245,10,1046,53,5549,29,2026,30,5667,30,5300,1,8473
230737,Utah Valley University,75,64,4745,46,4713,46,4473,9,1236,4,1308,25,3447,38,5139,36,5055,2,6681
230764,University of Utah,56,45,7763,20,5507,20,4968,11,948,8,2042,35,6402,22,7086,21,6191,2,11509
230782,Weber State University,78,70,4165,37,4173,37,4101,3,980,3,1497,46,2931,31,3786,30,3668,1,6464
230807,Westminster College,99,99,14364,29,4860,29,3889,23,1212,2,1264,98,12927,54,6684,54,5714,3,17691
230825,Burlington College,90,81,9552,52,5100,52,3806,39,1725,52,2928,81,4414,87,13361,87,11873,13,10043
230852,Champlain College,89,86,9756,22,5293,22,3895,21,1491,16,2625,84,8061,72,7488,71,5857,7,16589
231174,University of Vermont,91,87,12970,22,5745,22,3814,21,2019,17,2258,87,11083,55,5963,55,5160,7,6862
231420,Averett University,99,99,14225,47,4668,47,4146,38,701,47,3139,99,10498,76,11669,76,11241,3,9547
231651,Regent University,96,91,7651,44,5305,43,4941,18,1164,37,2592,80,4520,67,6924,67,6326,3,15906
231712,Christopher Newport University,77,57,4133,16,4738,16,4006,16,760,30,3373,33,1724,55,6437,55,5263,6,11337
231837,Jefferson College of Health Sciences,100,100,10085,47,5069,47,4199,47,870,100,2467,100,5252,77,8177,77,6987,8,10948
232043,Eastern Mennonite University,100,100,14980,42,5674,37,3950,42,2178,55,2130,100,11406,68,6742,67,6522,4,5605
232265,Hampton University,91,68,9637,43,5435,43,4393,34,1371,17,2491,28,13262,74,6487,74,6487,0,
232423,James Madison University,59,25,7276,14,4440,14,3704,12,867,8,5338,16,5205,43,6222,42,5187,4,12950
232557,Liberty University,97,95,7962,40,4592,40,4305,10,1293,25,2480,80,6333,67,6704,67,5822,6,10528
232609,Lynchburg College,99,98,16486,29,4394,28,3491,25,1085,65,2506,97,13774,72,7138,72,5907,7,12327
232706,Marymount University,91,90,13500,36,5103,35,4316,31,1045,43,2488,89,10443,73,6170,72,5694,4,10033
232937,Norfolk State University,96,81,8371,65,5241,65,4758,31,1036,39,4630,24,6252,77,3937,77,3482,3,13257
232982,Old Dominion University,76,76,7147,32,5125,32,4651,17,907,43,6533,24,4057,61,6222,61,5492,4,11112
233301,Randolph College,100,100,19929,28,4029,28,3829,6,1000,49,2486,100,17596,86,10771,86,8324,22,9516
233374,University of Richmond,65,61,32995,14,5871,14,4061,13,1892,20,2282,56,33374,39,5562,39,4883,2,12545
233541,Shenandoah University,97,97,12951,28,4339,28,3849,28,490,60,2451,97,10178,74,7251,74,5844,8,14071
233684,Strayer University-Virginia,56,52,1327,16,3727,16,3587,11,200,0,,49,173,23,5596,23,5596,0,
233912,Virginia Intermont College,82,81,17252,39,4772,39,4263,18,1102,32,2658,77,14715,64,6635,64,5643,7,9255
233921,Virginia Polytechnic Institute and State University,77,57,5517,46,1733,15,4017,45,412,22,4210,38,3806,45,6985,44,5738,4,13936
234030,Virginia Commonwealth University,82,59,9427,37,5089,32,4091,35,1708,48,4748,36,4011,68,6409,68,5569,6,10594
234076,University of Virginia-Main Campus,59,33,15498,14,4982,13,4225,13,1109,10,8589,27,12823,29,6717,28,5932,2,12808
234137,Virginia University of Lynchburg,90,84,2808,84,2769,84,2758,6,150,0,,3,1000,81,3470,81,3470,0,
234164,Virginia Union University,96,88,8606,79,5283,79,4444,56,1181,47,2606,44,5036,86,6960,86,6621,6,5146
234173,Virginia Wesleyan College,98,98,15557,39,5591,31,3888,29,3433,68,2425,95,12043,79,6681,79,5827,6,11095
